"DESIGN_VARIABLE","AIRFOIL_AREA","AIRFOIL_THICKNESS","AIRFOIL_CHORD","AIRFOIL_LE_RADIUS","AIRFOIL_TOC","AIRFOIL_ALPHA"
0,0.254376,0.166836,0,-5612.62,0.166836,0
1,0.324769,0.314722,0,-1605.62,0.314722,0
2,0.370803,0.466855,0,-458.742,0.466855,0
3,0.402717,0.618298,0,-124.066,0.618298,0
4,0.424366,0.759308,0,-30.4961,0.759308,0
5,0.437678,0.876786,0,-6.54307,0.876786,0
6,0.443758,0.955397,0,-1.17016,0.955397,0
7,0.443293,0.998014,0,-0.164781,0.998014,0
8,0.436729,0.980326,0,-0.0169611,0.980326,0
9,0.424361,0.891013,0,-0.00115274,0.891013,0
10,0.406381,0.734086,0,-4.47519e-05,0.734086,0
11,0.382912,0.531326,0,-7.9983e-07,0.531326,0
12,0.354022,0.321878,0,-4.68958e-09,0.321878,0
13,0.319744,0.150937,0,0,0.150937,0
14,0.280081,0.0478454,0,0,0.0478454,0
15,0.235016,0.00788399,0,0,0.00788399,0
16,0.184513,0.000368704,0,0,0.000368704,0
17,0.128522,7.88283e-07,0,0,7.88283e-07,0
18,0.0670282,0,0,0,0,0
19,0.254373,0.166861,0,-4290.76,0.166861,0
20,0.324774,0.314761,0,-1095.9,0.314761,0
21,0.370816,0.466904,0,-285.032,0.466904,0
22,0.402737,0.618352,0,-70.5088,0.618352,0
23,0.424391,0.75936,0,-15.8186,0.759359,0
24,0.437703,0.876827,0,-3.07703,0.876827,0
25,0.443779,0.95542,0,-0.493671,0.95542,0
26,0.443305,0.998021,0,-0.0614603,0.998021,0
27,0.436728,0.980304,0,-0.00548488,0.980304,0
28,0.424343,0.890963,0,-0.000314907,0.890963,0
29,0.406346,0.734017,0,-9.97133e-06,0.734017,0
30,0.382865,0.531252,0,-1.38414e-07,0.531252,0
31,0.353973,0.321816,0,-5.54223e-10,0.321816,0
32,0.319705,0.150898,0,0,0.150898,0
33,0.280064,0.0478288,0,0,0.0478288,0
34,0.235031,0.00788031,0,0,0.00788031,0
35,0.184567,0.000368454,0,0,0.000368454,0
36,0.128619,7.87265e-07,0,0,7.87265e-07,0
37,0.0671232,1.38778e-14,0,0,1.38778e-14,0
